regime,permutations,trial,rmse,max_error,top1,unique_coalitions,coalition_fraction,hoeffding_radius
uniform,4,25,0.014198153881618401,0.027978687313819563,False,20,0.3125,1.6553910298388703
uniform,4,26,0.007245757299613331,0.011108075214400066,True,17,0.265625,1.6553910298388703
uniform,4,27,0.015944975101587863,0.02934739336652045,True,16,0.25,1.6553910298388703
uniform,4,28,0.010923500601656947,0.021563775043335023,True,20,0.3125,1.6553910298388703
uniform,4,29,0.02493596795803607,0.046466412781929894,False,18,0.28125,1.6553910298388703
uniform,4,30,0.008280427513678329,0.014478816162929314,False,21,0.328125,1.6553910298388703
uniform,4,31,0.010447324747119173,0.01995118136391292,False,20,0.3125,1.6553910298388703
uniform,4,32,0.004525849770567772,0.008602842005441824,True,19,0.296875,1.6553910298388703
uniform,4,33,0.014699807353379689,0.026821184920388503,True,16,0.25,1.6553910298388703
uniform,4,34,0.004320039494712328,0.005826714941539388,False,22,0.34375,1.6553910298388703
uniform,4,35,0.0015076276168121475,0.002823338337940993,False,21,0.328125,1.6553910298388703
uniform,4,36,0.009049914255500547,0.012233047190047856,False,17,0.265625,1.6553910298388703
uniform,4,37,0.015966413807827255,0.02915231379887193,True,16,0.25,1.6553910298388703
uniform,4,38,0.005059925525048381,0.007371889612443772,True,19,0.296875,1.6553910298388703
uniform,4,39,0.007685909019583817,0.014527535073939751,False,22,0.34375,1.6553910298388703
uniform,4,40,0.009492412401838322,0.020174954286056618,False,18,0.28125,1.6553910298388703
uniform,4,41,0.006364331378468028,0.012092185409313158,True,21,0.328125,1.6553910298388703
uniform,4,42,0.008493238314192565,0.018001419348725733,False,17,0.265625,1.6553910298388703
uniform,4,43,0.007499261805822872,0.014066736713034253,True,21,0.328125,1.6553910298388703
uniform,4,44,0.018255378823102346,0.035098568820858475,True,17,0.265625,1.6553910298388703
uniform,4,45,0.003982935951204514,0.006262816996512571,False,22,0.34375,1.6553910298388703
uniform,4,46,0.008311866485727178,0.01599429938421109,True,20,0.3125,1.6553910298388703
uniform,4,47,0.007203939085228385,0.01324694322967727,True,21,0.328125,1.6553910298388703
uniform,4,48,0.010905517704395263,0.01861960187674047,False,21,0.328125,1.6553910298388703
uniform,4,49,0.019340483155500535,0.036555049454895315,False,19,0.296875,1.6553910298388703
uniform,4,50,0.017572828608451482,0.027778496589205302,True,17,0.265625,1.6553910298388703
uniform,4,51,0.004301190787895989,0.007039564423368061,True,18,0.28125,1.6553910298388703
uniform,4,52,0.014068595519799356,0.026046419303038436,True,21,0.328125,1.6553910298388703
uniform,4,53,0.00795488273172639,0.01708834313831507,False,19,0.296875,1.6553910298388703
uniform,4,54,0.007885802437305437,0.014035743291917096,False,21,0.328125,1.6553910298388703
uniform,4,55,0.0046977745928945755,0.008358825411617752,True,20,0.3125,1.6553910298388703
uniform,4,56,0.008343260611253915,0.01602710894428002,True,21,0.328125,1.6553910298388703
uniform,4,57,0.006384951274521819,0.01365511295688958,True,19,0.296875,1.6553910298388703
uniform,4,58,0.00652623725968299,0.010130292810436668,True,22,0.34375,1.6553910298388703
uniform,4,59,0.0024380755679528393,0.004137313232255628,True,20,0.3125,1.6553910298388703
uniform,4,60,0.00744766718084241,0.011289488344499646,True,19,0.296875,1.6553910298388703
uniform,4,61,0.01927537937506828,0.03291039458383218,True,18,0.28125,1.6553910298388703
uniform,4,62,0.004327304693151862,0.006329891809756353,False,16,0.25,1.6553910298388703
uniform,4,63,0.003654391381754589,0.007041479977202607,False,21,0.328125,1.6553910298388703
uniform,4,64,0.011143755439639696,0.020427803015526585,False,16,0.25,1.6553910298388703
uniform,4,65,0.013181797286080297,0.025673263697583194,False,19,0.296875,1.6553910298388703
uniform,4,66,0.0037498674702665952,0.006766296061067677,True,21,0.328125,1.6553910298388703
uniform,4,67,0.009559409150214138,0.018181095485628296,False,18,0.28125,1.6553910298388703
uniform,4,68,0.005283978868604813,0.010041625415863828,True,20,0.3125,1.6553910298388703
uniform,4,69,0.0033139991078504783,0.004565117135996679,False,20,0.3125,1.6553910298388703
uniform,4,70,0.0026544865089383886,0.005072242991906485,True,17,0.265625,1.6553910298388703
uniform,4,71,0.011688614800508472,0.020195488483159246,False,19,0.296875,1.6553910298388703
uniform,4,72,0.013117022859087247,0.02618484458289206,False,22,0.34375,1.6553910298388703
uniform,4,73,0.005800436618520001,0.012072458451425398,True,20,0.3125,1.6553910298388703
uniform,4,74,0.0054100887800060775,0.009860713889702194,True,21,0.328125,1.6553910298388703
uniform,4,75,0.014123622096046598,0.021384602130080192,False,19,0.296875,1.6553910298388703
uniform,4,76,0.004296090878795988,0.009132771962893043,True,20,0.3125,1.6553910298388703
uniform,4,77,0.020512938808892045,0.03435852993818542,False,21,0.328125,1.6553910298388703
uniform,4,78,0.004356107732763447,0.009383935735484078,True,18,0.28125,1.6553910298388703
